artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs
Jim Richardson,Upright bass,1941,NaN,True,1941-01-01,,79.0
Georg Riedel,Double bass,1934-01-08,NaN,True,1934-01-08,,86.0
Steve Rodby,Bass,1954-12-09,NaN,True,1954-12-09,,65.0
Reuben Rogers,Double bass,1974-11-15,NaN,True,1974-11-15,,45.0
Gabe Rosales,Bass guitar,1978-11-17,NaN,True,1978-11-17,,41.0
Howard Rumsey,Double bass,1917-11-07,2015-07-15,False,1917-11-07,2015-07-15,97.0
Daryl Runswick,Upright bass,1946,NaN,True,1946-01-01,,74.0
Curley Russell,Double bass,1917-03-19,1986-07-03,False,1917-03-19,1986-07-03,69.0
Harvie S,Double bass,1948-12-06,NaN,True,1948-12-06,,71.0
Igor Saavedra,Bass,1966-05-31,NaN,True,1966-05-31,,54.0
Eddie Safranski,Double bass,1918,1974,False,1918-01-01,1974-01-01,56.0
Ole Marius Sandberg,Double bass,1975-10-26,NaN,True,1975-10-26,,44.0
Fernando Saunders,Bass guitar,1957,NaN,True,1957-01-01,,63.0
Tony Saunders,Upright bass,NaN,NaN,NaN,,,NaN
Patrick Scales,Electric bass,1965-03-24,NaN,True,1965-03-24,,55.0
Tony Scherr,Guitar,NaN,NaN,NaN,,,NaN
Lynn Seaton,Bass,1957-07-18,NaN,True,1957-07-18,,63.0
Clarence Seay,Upright bass,1957,NaN,True,1957-01-01,,63.0
Karl E. H. Seigfried,Double bass,1973-03-08,NaN,True,1973-03-08,,47.0
Pat Senatore,Bass,1935-08-19,NaN,True,1935-08-19,,85.0
Avery Sharpe,Double bass,1954-08-23,NaN,True,1954-08-23,,66.0
Arvell Shaw,Upright bass,1923,2002,False,1923-01-01,2002-01-01,79.0
Todd Sickafoose,Bass,NaN,NaN,NaN,,,NaN
Alan Silva,Upright bass,1939-01-22,NaN,True,1939-01-22,,81.0
John Simmons,Bass,1918-06-14,1979-09-19,False,1918-06-14,1979-09-19,61.0
Andy Simpkins,bassist,1932-04-29,1999-06-02,False,1932-04-29,1999-06-02,67.0
Len Skeat,Double bass,1937-02-09,NaN,True,1937-02-09,,83.0
Audun Skorgen,Upright bass,1967-02-26,NaN,True,1967-02-26,,53.0
Baard Slagsvold,Vocals,1963-08-31,NaN,True,1963-08-31,,57.0
Carson Smith,Double bass,1931-01-09,1997-11-02,False,1931-01-09,1997-11-02,66.0
Putter Smith,Double bass,1941-01-19,NaN,True,1941-01-19,,79.0
Rhonda Smith,Upright bass,NaN,NaN,NaN,,,NaN
Teddy Smith,Upright bass,1932,1979,False,1932-01-01,1979-01-01,47.0
Esperanza Spalding,Double bass,1984-10-18,NaN,True,1984-10-18,,35.0
Victor Sproles,Upright bass,1927,2005,False,1927-01-01,2005-01-01,78.0
Neal Starkey,Upright bass,NaN,NaN,NaN,,,NaN
"Leroy ""Slam"" Stewart",Double bass,1914-09-21,1987-12-10,False,1914-09-21,1987-12-10,73.0
Øyvind Storesund,Vocals,1974-03-09,NaN,True,1974-03-09,,46.0
Ben Street,Double bass,NaN,NaN,NaN,,,NaN
Jon Rune Strøm,Upright bass,1985-01-29,NaN,True,1985-01-29,,35.0
Ted Sturgis,Upright bass,1913,1995,False,1913-01-01,1995-01-01,82.0
Ike Sturm,Upright bass,1978-06-29,NaN,True,1978-06-29,,42.0
Christian Meaas Svendsen,Upright bass,1988-02-26,NaN,True,1988-02-26,,32.0
Neil Swainson,Bass,1955-11-15,NaN,True,1955-11-15,,64.0
Steve Swallow,Bass guitar,1940-10-04,NaN,True,1940-10-04,,79.0
Jamaaladeen Tacuma,Electric bass,1956-06-11,NaN,True,1956-06-11,,64.0
Carl Frederick Tandberg,Bass fiddle,1910-03-22,1988-08-26,False,1910-03-22,1988-08-26,78.0
Sandra Riley Tang,Upright bass,1990,NaN,True,1990-01-01,,30.0
Ares Tavolazzi,Upright bass,1948,NaN,True,1948-01-01,,72.0
Billy Taylor,Upright bass,1906,1986,False,1906-01-01,1986-01-01,80.0
Dylan Taylor,Double bass,1960-03-29,NaN,True,1960-03-29,,60.0
Henri Texier,Double bass,1945-01-27,NaN,True,1945-01-27,,75.0
Kostas Theodorou,Upright bass,1965,NaN,True,1965-01-01,,55.0
Danny Thompson,Upright bass,1939-04-04,NaN,True,1939-04-04,,81.0
Don Thompson,Double bass,1940-01-18,NaN,True,1940-01-18,,80.0
Magne Thormodsæter,Upright bass,1973-07-08,NaN,True,1973-07-08,,47.0
Wayman Tisdale,Upright bass,1964,2009,False,1964-01-01,2009-01-01,45.0
Jannick Top,Upright bass,NaN,NaN,NaN,,,NaN
Brian Torff,Double bass,1954-03-16,NaN,True,1954-03-16,,66.0
Frank Tusa,Upright bass,1947,NaN,True,1947-01-01,,73.0
Bjørnar Kaldefoss Tveite,Upright bass,1987-10-12,NaN,True,1987-10-12,,32.0
Tyler Joseph,Upright bass,1988,NaN,True,1988-01-01,,32.0
Sigurd Ulveseth,Upright bass,1953-07-13,NaN,True,1953-07-13,,67.0
Phil Upchurch,Upright bass,1941,NaN,True,1941-01-01,,79.0
Ole Morten Vågan,Upright bass,1979-05-08,NaN,True,1979-05-08,,41.0
Hein van de Geyn,Double bass,1956-07-18,NaN,True,1956-07-18,,64.0
Terje Venaas,Upright bass,1947-03-30,NaN,True,1947-03-30,,73.0
Mads Vinding,Double bass,1948-12-07,NaN,True,1948-12-07,,71.0
Leroy Vinnegar,Double bass,1928-07-13,1999-08-03,False,1928-07-13,1999-08-03,71.0
Miroslav Vitous,Double bass,1947-12-06,NaN,True,1947-12-06,,72.0
Louis Vola,Bass,1902-07-06,1990,False,1902-07-06,1990-01-01,87.0
Ellen Andrea Wang,Vocals,1986-10-10,NaN,True,1986-10-10,,33.0
Wilbur Ware,Double bass,1923-09-08,1979-09-09,False,1923-09-08,1979-09-09,56.0
Butch Warren,Double bass,1939-08-09,2013-10-05,False,1939-08-09,2013-10-05,74.0
Peter Washington,Bass,1964-08-28,NaN,True,1964-08-28,,56.0
Rob Wasserman,Double bass,1952-04-01,2016-06-29,False,1952-04-01,2016-06-29,64.0
Doug Watkins,Double bass,1934-03-02,1962-02-05,False,1934-03-02,1962-02-05,27.0
Hank Wayland,Upright bass,1906,1983,False,1906-01-01,1983-01-01,77.0
Eberhard Weber,Electric upright bass,1940-01-22,NaN,True,1940-01-22,,80.0
Rodney Whitaker,Double bass,1968-02-22,NaN,True,1968-02-22,,52.0
Andrew White,Saxophone,1942-09-06,NaN,True,1942-09-06,,78.0
Chris White,Double bass,1936,2014,False,1936-01-01,2014-01-01,78.0
Tal Wilkenfeld,Bass guitar,1986-12-02,NaN,True,1986-12-02,,33.0
Buster Williams,Double bass,1942-04-17,NaN,True,1942-04-17,,78.0
"David ""Happy"" Williams",Double bass,1946-09-17,NaN,True,1946-09-17,,74.0
Gary Willis,Upright bass,1957,NaN,True,1957-01-01,,63.0
Quinn Wilson,Violin,1908-12-26,1978-06-14,False,1908-12-26,1978-06-14,69.0
Ben Wolfe,Double bass,1962-08-03,NaN,True,1962-08-03,,58.0
Chris Wood,Double bass,NaN,NaN,NaN,,,NaN
Jimmy Woode,Upright bass,1926,2005,False,1926-01-01,2005-01-01,79.0
Victor Lemonte Wooten,Bass guitar,1964-09-11,NaN,True,1964-09-11,,56.0
Reggie Workman,Double bass,1937-06-26,NaN,True,1937-06-26,,83.0
Eugene Wright,Double bass,1923-05-29,NaN,True,1923-05-29,,97.0
Herman Wright,Upright bass,NaN,NaN,NaN,,,NaN
Walt Yoder,Double bass,1914-04-21,1978-12-02,False,1914-04-21,1978-12-02,64.0
Eldee Young,Upright bass,1936,2007,False,1936-01-01,2007-01-01,71.0
Per Zanussi,Upright bass,1977-01-31,NaN,True,1977-01-31,,43.0
Chester Zardis,Upright bass,1900,1990,False,1900-01-01,1990-01-01,90.0
Stuart Zender,Bass,1974-03-18,NaN,True,1974-03-18,,46.0
