artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs,cause_of_death,Column1
Kevin Hays,Piano,5/1/1968,NaN,TRUE,5/1/1968,,52,NaN,
David Hazeltine,Piano,10/27/1958,NaN,TRUE,10/27/1958,,61,NaN,
Pablo Held,Piano,12/27/1986,NaN,TRUE,12/27/1986,,33,NaN,
Tamir Hendelman,Piano,1972,NaN,NaN,1/1/1972,NaN,NaN,NaN,
Bobby Henderson,Piano,1910,1969,FALSE,1/1/1910,1/1/1969,59,NaN,
Fletcher Henderson,Piano,1897-12-18,12/29/1952,FALSE,1897-12-18,12/29/1952,55,NaN,
Horace Henderson,Piano,1904,8/29/1988,FALSE,1/1/1904,8/29/1988,84,NaN,
Yaron Herman,Piano,7/12/1981,NaN,TRUE,7/12/1981,,39,NaN,
Oscar Hernandez,Piano,1954,NaN,TRUE,1/1/1954,,66,NaN,
Fred Hersch,Piano,10/21/1955,NaN,TRUE,10/21/1955,,64,NaN,
Nitai Hershkovits,Piano,1988,NaN,TRUE,1/1/1988,,32,NaN,
Svein Olav Herstad,Piano,7/7/1969,NaN,TRUE,7/7/1969,,51,NaN,
Frank Hewitt,Piano,1935,2002,FALSE,1/1/1935,1/1/2002,67,NaN,
Eddie Heywood,Piano,12/4/1915,1/3/1989,FALSE,12/4/1915,1/3/1989,73,Parkinson's,
John Hicks,Piano,12/21/1941,5/10/2006,FALSE,12/21/1941,5/10/2006,64,Internal Bleeding,
Eddie Higgins,Piano,2/21/1932,8/31/2009,FALSE,2/21/1932,8/31/2009,77,Cancer (Lung),
Andrew Hill,Piano,1931,4/20/2007,FALSE,1/1/1931,4/20/2007,76,Cancer (Lung),
Lisa Hilton,Piano,NaN,NaN,NaN,,,NaN,NaN,
Earl Hines,Piano,12/28/1903,4/22/1983,FALSE,12/28/1903,4/22/1983,79,Heart Attack,
Jutta Hipp,Piano,1925,4/7/2003,FALSE,1/1/1925,4/7/2003,78,Cancer (Pancreas),
Art Hirahara,Piano,1971,NaN,TRUE,1/1/1971,,49,NaN,
Art Hodes,Piano,11/14/1904,3/4/1993,FALSE,11/14/1904,3/4/1993,88,NaN,
Jan Gunnar Hoff,Piano,10/22/1958,NaN,TRUE,10/22/1958,,61,NaN,
Jools Holland,Piano,1/24/1958,NaN,TRUE,1/24/1958,,62,NaN,
Scott Holman,Piano,6/4/1954,NaN,TRUE,6/4/1954,,66,NaN,
Mike Holober,Piano,NaN,NaN,NaN,,,NaN,NaN,
Bertha Hope,Piano,11/8/1936,NaN,TRUE,11/8/1936,,83,NaN,
Elmo Hope,Piano,1923,5/19/1967,FALSE,1/1/1923,5/19/1967,44,Heart Failure,
Glenn Horiuchi,Piano,1955,2000,FALSE,1/1/1955,1/1/2000,45,Cancer (Colon),
Shirley Horn,Vocals,5/1/1934,10/20/2005,FALSE,5/1/1934,10/20/2005,71,Diabetes,
Wayne Horvitz,Keyboards,9/1/1955,NaN,TRUE,9/1/1955,,65,NaN,
Julia Hülsmann,Piano,1968,NaN,TRUE,1/1/1968,,52,NaN,
Steve Hunt,Piano,1958,NaN,TRUE,1/1/1958,,62,NaN,
Per Husby,Piano,4/2/1949,NaN,TRUE,4/2/1949,,71,NaN,
Dick Hyman,Piano,3/8/1927,NaN,TRUE,3/8/1927,,93,NaN,
Adrián Iaies,Piano,1960,NaN,TRUE,1/1/1960,,60,NaN,
Hasaan Ibn Ali,Piano,1931,1980,FALSE,1/1/1931,1/1/1980,49,NaN,
Abdullah Ibrahim,Piano,10/9/1934,NaN,TRUE,10/9/1934,,85,NaN,
Nikki Iles,Piano,5/16/1963,NaN,TRUE,5/16/1963,,57,NaN,
Masaru Imada,Piano,3/21/1932,NaN,TRUE,3/21/1932,,88,NaN,
Keith Ingham,Piano,1942,NaN,TRUE,1/1/1942,,78,NaN,
Weldon Irvine,Piano,1943,2002,FALSE,1/1/1943,1/1/2002,59,Suicide,
Robert Irving III,Piano,10/27/1953,NaN,TRUE,10/27/1953,,66,NaN,
Einar Iversen,Piano,7/27/1930,4/3/2019,FALSE,7/27/1930,4/3/2019,88,NaN,
Ethan Iverson,Piano,2/11/1973,NaN,TRUE,2/11/1973,,47,NaN,
Vijay Iyer,Piano,10/26/1971,NaN,TRUE,10/26/1971,,48,NaN,
D. D. Jackson,Piano,1/25/1967,NaN,TRUE,1/25/1967,,53,NaN,
Christian Jacob,Piano,5/8/1958,NaN,TRUE,5/8/1958,,62,NaN,
Pim Jacobs,Piano,10/29/1934,7/3/1996,FALSE,10/29/1934,7/3/1996,61,NaN,
Pete Jacobsen,Piano,5/16/1950,4/29/2002,FALSE,5/16/1950,4/29/2002,51,NaN,
Ahmad Jamal,Piano,7/2/1930,NaN,TRUE,7/2/1930,,90,NaN,
Bob James,Piano,12/25/1939,NaN,TRUE,12/25/1939,,80,NaN,
Jon Jang,Piano,1954,NaN,TRUE,1/1/1954,,66,NaN,
Lars Jansson,Piano,1951,NaN,TRUE,1/1/1951,,69,NaN,
Keith Jarrett,Piano,5/8/1945,NaN,TRUE,5/8/1945,,75,NaN,
Jane Jarvis,Piano,10/31/1915,1/25/2010,FALSE,10/31/1915,1/25/2010,94,NaN,
Antonio Carlos Jobim,Piano,1/25/1927,12/8/1994,FALSE,1/25/1927,12/8/1994,67,Heart Attack,
Jan Johansson,Piano,9/16/1931,11/9/1968,FALSE,9/16/1931,11/9/1968,37,Car Accident,
Dink Johnson,Piano,1892,1954,FALSE,1892-01-01,1/1/1954,61,NaN,
James P. Johnson,Piano,1894-02-01,11/17/1955,FALSE,1894-02-01,11/17/1955,61,NaN,
Pete Johnson,Piano,3/25/1904,3/23/1967,FALSE,3/25/1904,3/23/1967,62,NaN,
Pete Jolly,Piano,6/5/1932,11/6/2004,FALSE,6/5/1932,11/6/2004,72,Myeloma,
Hank Jones,Piano,7/31/1918,5/16/2010,FALSE,7/31/1918,5/16/2010,91,NaN,
Mike Jones,Piano,8/11/1962,NaN,TRUE,8/11/1962,,58,NaN,
Norah Jones,Vocals,3/30/1979,NaN,TRUE,3/30/1979,,41,NaN,
Oliver Jones,Piano,9/11/1934,NaN,TRUE,9/11/1934,,86,NaN,
Richard M. Jones,Piano,1892,1945,FALSE,1892-01-01,1/1/1945,53,NaN,
Scott Joplin,Piano,1868,1917,FALSE,1868-01-01,1/1/1917,49,Syphilis,
Duke Jordan,Piano,1922,8/8/2006,FALSE,1/1/1922,8/8/2006,84,NaN,
Bradley Joseph,Piano,1965,NaN,TRUE,1/1/1965,,55,NaN,
Julian Joseph,Piano,5/11/1966,NaN,TRUE,5/11/1966,,54,NaN,
Hans Otto Jung,Piano,1920,2009,FALSE,1/1/1920,1/1/2009,89,NaN,
Maria Kannegaard,Piano,10/6/1970,NaN,TRUE,10/6/1970,,49,NaN,
Egil Kapstad,Piano,8/6/1940,7/13/2017,FALSE,8/6/1940,7/13/2017,76,NaN,
Nikolai Kapustin,Piano,1937,2020,FALSE,1/1/1937,1/1/2020,82,NaN,
Fumio Karashima,Piano,3/9/1948,2/24/2017,FALSE,3/9/1948,2/24/2017,68,Cancer,
Kjell Karlsen,Piano,7/29/1931,5/5/2020,FALSE,7/29/1931,5/5/2020,88,NaN,
Jacob Karlzon,Piano,1970,NaN,TRUE,1/1/1970,,50,NaN,
Gregg Karukas,Piano,1956,NaN,TRUE,1/1/1956,,64,NaN,
Eyran Katsenelenbogen,Piano,7/5/1965,NaN,TRUE,7/5/1965,,55,NaN,
Bruce Katz,Piano,1952,NaN,TRUE,1/1/1952,,68,NaN,
Dick Katz,Piano,1924,2009,FALSE,1/1/1924,1/1/2009,85,Cancer (Lung),
Cab Kaye,Vocals,9/3/1921,3/13/2000,FALSE,9/3/1921,3/13/2000,78,Cancer (Mouth),
Yakov Kazyansky,Piano,1948,NaN,TRUE,1/1/1948,,72,NaN,
Geoff Keezer,Piano,11/21/1970,NaN,TRUE,11/21/1970,,49,NaN,
Roger Kellaway,Piano,1939,NaN,TRUE,1/1/1939,,81,NaN,
Sue Keller,Piano,1952,NaN,TRUE,1/1/1952,,68,NaN,
Peck Kelley,Piano,1898-10-22,12/26/1980,FALSE,1898-10-22,12/26/1980,82,Parkinson's,
Brian Kellock,Piano,1962,NaN,TRUE,1/1/1962,,58,NaN,
Wynton Kelly,Piano,12/2/1931,4/12/1971,FALSE,12/2/1931,4/12/1971,39,Seizure,
Rodney Kendrick,Piano,4/30/1960,NaN,TRUE,4/30/1960,,60,NaN,
Ray Kennedy,Piano,1957,2015,FALSE,1/1/1957,1/1/2015,57,Multiple Sclerosis,
Stan Kenton,Piano,12/15/1911,8/25/1979,FALSE,12/15/1911,8/25/1979,67,Stroke,
Brooks Kerr,Piano,12/26/1951,4/28/2018,FALSE,12/26/1951,4/28/2018,66,Kidney Disease,
David Kikoski,Piano,1961,NaN,TRUE,1/1/1961,,59,NaN,
Masabumi Kikuchi,Piano,1939,7/6/2015,FALSE,1/1/1939,7/6/2015,76,Subdural Hematoma,
Jeanette Kimball,Piano,1906,2001,FALSE,1/1/1906,1/1/2001,95,NaN,
Frank Kimbrough,Piano,1956,NaN,TRUE,1/1/1956,,64,NaN,
Kenny Kirkland,Piano,9/28/1955,11/12/1998,FALSE,9/28/1955,11/12/1998,43,Heart Failure,
Simon Kiselicki,Piano,10/25/1974,NaN,TRUE,10/25/1974,,45,NaN,
Rune Klakegg,Piano,4/19/1955,NaN,TRUE,4/19/1955,,65,NaN,
Guillermo Klein,Piano,1969,NaN,TRUE,1/1/1969,,51,NaN,
Jacques Klein,Piano,1930,1982,FALSE,1/1/1930,1/1/1982,52,NaN,
Dan Knight,Piano,1953,NaN,TRUE,1/1/1953,,67,NaN,
Ron Kobayashi,Piano,NaN,NaN,NaN,,,NaN,NaN,
Per Kolstad,Piano,4/23/1953,NaN,TRUE,4/23/1953,,67,NaN,
Krzysztof Komeda,Piano,4/27/1931,4/23/1969,FALSE,4/27/1931,4/23/1969,37,Fall,
Olga Konkova,Piano,8/25/1969,NaN,TRUE,8/25/1969,,51,NaN,
Ted Kooshian,Piano,1961,NaN,TRUE,1/1/1961,,59,NaN,
Steve Koven,Piano,NaN,NaN,NaN,,,NaN,NaN,
Diana Krall,Vocals,11/16/1964,NaN,TRUE,11/16/1964,,55,NaN,
Mark Kramer,Piano,11/3/1945,NaN,TRUE,11/3/1945,,74,NaN,
Knut Kristiansen,Piano,4/14/1946,NaN,TRUE,4/14/1946,,74,NaN,
Joachim Kühn,Piano,3/15/1944,NaN,TRUE,3/15/1944,,76,NaN,
Steve Kuhn,Piano,3/24/1938,NaN,TRUE,3/24/1938,,82,NaN,
Billy Kyle,Piano/guitar,7/14/1914,1966,FALSE,7/14/1914,1/1/1966,51,NaN,
Donald Lambert,Piano,1904,1962,FALSE,1/1/1904,1/1/1962,58,NaN,
Art Lande,Piano,2/5/1947,NaN,TRUE,2/5/1947,,73,NaN,
Geir Langslet,Piano,10/9/1956,NaN,TRUE,10/9/1956,,63,NaN,
Ellis Larkins,Piano,5/15/1923,9/30/2002,FALSE,5/15/1923,9/30/2002,79,NaN,
Morten Gunnar Larsen,Piano,10/1/1955,NaN,TRUE,10/1/1955,,64,NaN,
Anja Lauvdal,Piano,1987,NaN,TRUE,1/1/1987,,33,NaN,
Andy LaVerne,Piano,1947,NaN,TRUE,1/1/1947,,73,NaN,
John Law,Piano,1961,NaN,TRUE,1/1/1961,,59,NaN,
Hugh Lawson,Piano,1935,1997,FALSE,1/1/1935,1/1/1997,62,Cancer (Colon),
Mike LeDonne,Piano,10/26/1956,NaN,TRUE,10/26/1956,,63,NaN,
Michel Legrand,Piano,1932,NaN,TRUE,1/1/1932,,88,NaN,
Peter Lemer,Piano,6/14/1942,NaN,TRUE,6/14/1942,,78,NaN,
Brian Lemon,Piano,2/11/1937,10/11/2014,FALSE,2/11/1937,10/11/2014,77,NaN,
Gianni Lenoci,Piano,1963,NaN,TRUE,1/1/1963,,57,NaN,
Uli Lenz,Piano,1955,NaN,TRUE,1/1/1955,,65,NaN,
Indra Lesmana,Keyboards,3/28/1966,NaN,TRUE,3/28/1966,,54,NaN,
Milcho Leviev,Piano,1937,NaN,TRUE,1/1/1937,,83,NaN,
Mark Levine,Piano,1938,NaN,TRUE,1/1/1938,,82,NaN,
Lou Levy,Piano,3/5/1928,1/23/2001,FALSE,3/5/1928,1/23/2001,72,Heart Attack,
John Lewis,Piano,5/3/1920,3/29/2001,FALSE,5/3/1920,3/29/2001,80,Cancer (Prostate),
Meade Lux Lewis,Piano,9/4/1905,6/7/1964,FALSE,9/4/1905,6/7/1964,58,Car Accident,
Ramsey Lewis,Piano,5/27/1935,NaN,TRUE,5/27/1935,,85,NaN,
Steve Lewis,Piano,1941,NaN,TRUE,1/1/1941,,79,NaN,
Helge Lien,Piano,4/23/1975,NaN,TRUE,4/23/1975,,45,NaN,
Kirk Lightsey,Piano,1937,NaN,TRUE,1/1/1937,,83,NaN,
Helge Lilletvedt,Piano,6/13/1964,NaN,TRUE,6/13/1964,,56,NaN,
Nils Lindberg,Piano,1953,NaN,TRUE,1/1/1953,,67,NaN,
Jason Lindner,Piano,2/1/1973,NaN,TRUE,2/1/1973,,47,NaN,
Ivan Lins,Piano,6/16/1945,NaN,TRUE,6/16/1945,,75,NaN,
Mike Longo,Piano,1939,NaN,TRUE,1/1/1939,,81,NaN,
Jeff Lorber,Keyboards,11/4/1952,NaN,TRUE,11/4/1952,,67,NaN,
Russ Lossing,Piano,1960,NaN,TRUE,1/1/1960,,60,NaN,
Jacques Loussier,Piano,10/26/1934,3/5/2019,FALSE,10/26/1934,3/5/2019,84,NaN,
Andreas Stensland Løwe,Piano,10/14/1983,NaN,TRUE,10/14/1983,,36,NaN,
Erik van der Luijt,Piano,8/22/1970,NaN,TRUE,8/22/1970,,50,NaN,
Jan Lundgren,Piano,3/22/1966,NaN,TRUE,3/22/1966,,54,NaN,
Bobby Lyle,Piano,3/11/1944,NaN,TRUE,3/11/1944,,76,NaN,
Harold Lopez Nussa,Piano,7/13/1983,NaN,TRUE,7/13/1983,,37,NaN,
Harold Mabern,Piano,3/20/1936,9/17/2019,FALSE,3/20/1936,9/17/2019,83,Heart Attack,
Earl MacDonald,Piano,7/26/1970,NaN,TRUE,7/26/1970,,50,NaN,
Dave Mackay,Piano,1932,NaN,TRUE,1/1/1932,,88,NaN,
Shai Maestro,Piano,2/5/1987,NaN,TRUE,2/5/1987,,33,NaN,
Roberto Magris,Piano,6/19/1959,NaN,TRUE,6/19/1959,,61,NaN,
Adam Makowicz,Piano,8/18/1940,NaN,TRUE,8/18/1940,,80,NaN,
John Malachi,Piano,1919,2/11/1987,FALSE,1/1/1919,2/11/1987,68,NaN,
Junior Mance,Piano,10/10/1928,NaN,TRUE,10/10/1928,,91,NaN,
Henry Mancini,Piano,4/16/1924,6/14/1994,FALSE,4/16/1924,6/14/1994,70,Cancer (Pancreas),
Emanuele Maniscalco,Piano,1983,NaN,TRUE,1/1/1983,,37,NaN,
Frank Mantooth,Piano,1947,2004,FALSE,1/1/1947,1/1/2004,57,Heart Attack,
Fate Marable,Piano,1890,1947,FALSE,1890-01-01,1/1/1947,56,Pneumonia,
Tânia Maria,Piano,5/9/1948,NaN,TRUE,5/9/1948,,72,NaN,
César Camargo Mariano,Piano,1943,NaN,TRUE,1/1/1943,,77,NaN,
Phil Markowitz,Piano,1952,NaN,TRUE,1/1/1952,,68,NaN,
Jon Marks,Piano,1947,2007,FALSE,1/1/1947,1/1/2007,60,NaN,
"Michael ""Dodo"" Marmarosa",Piano,12/12/1925,9/17/2002,FALSE,12/12/1925,9/17/2002,76,Heart Attack,
Denman Maroney,Piano,1949,NaN,TRUE,1/1/1949,,71,NaN,
André Marques,Piano,1975,NaN,TRUE,1/1/1975,,45,NaN,
"Ellis Marsalis, Jr.",Piano,11/14/1934,4/1/2020,FALSE,11/14/1934,4/1/2020,85,COVID-19,
Peter Martin,Piano,1970,NaN,TRUE,1/1/1970,,50,NaN,
Ronnie Mathews,Piano,12/2/1935,6/28/2008,FALSE,12/2/1935,6/28/2008,72,Cancer (Pancreas),
Keiko Matsui,Keyboards,7/26/1961,NaN,TRUE,7/26/1961,,59,NaN,
Takashi Matsunaga,Piano,1986,NaN,TRUE,1/1/1986,,34,NaN,
David Matthews,Keyboards,1942,NaN,TRUE,1/1/1942,,78,NaN,
Rebeca Mauleon,Piano,1962,NaN,TRUE,1/1/1962,,58,NaN,
Jon Mayer,Piano,9/7/1938,NaN,TRUE,9/7/1938,,82,NaN,
Bill Mays,Piano,2/5/1944,NaN,TRUE,2/5/1944,,76,NaN,
Lyle Mays,Piano,11/27/1953,2/10/2020,FALSE,11/27/1953,2/10/2020,66,Illness,
Barney McAll,Piano,1966,NaN,TRUE,1/1/1966,,54,NaN,
John McAll,Piano,1960,NaN,TRUE,1/1/1960,,60,NaN,
Les McCann,Piano,9/23/1935,NaN,TRUE,9/23/1935,,85,NaN,
Tom McClung,Piano,4/4/1957,5/14/2017,FALSE,4/4/1957,5/14/2017,60,Cancer,
Andrew McCormack,Piano,3/24/1978,NaN,TRUE,3/24/1978,,42,NaN,
Dave McKenna,Piano,5/30/1930,10/18/2008,FALSE,5/30/1930,10/18/2008,78,NaN,
Carlos McKinney,Piano,1/10/1978,NaN,TRUE,1/10/1978,,42,NaN,
Jim McNeely,Piano,5/18/1949,NaN,TRUE,5/18/1949,,71,NaN,
Marian McPartland,Piano,3/20/1918,8/20/2013,FALSE,3/20/1918,8/20/2013,95,Natural Causes,
Jay McShann,Vocals,1/12/1916,12/7/2006,FALSE,1/12/1916,12/7/2006,90,NaN,
John Medeski,Keyboards,6/28/1965,NaN,TRUE,6/28/1965,,55,NaN,
John Mehegan,Piano,6/6/1916,4/3/1984,FALSE,6/6/1916,4/3/1984,67,NaN,
Brad Mehldau,Piano,8/23/1970,NaN,TRUE,8/23/1970,,50,NaN,
Myra Melford,Piano,1/5/1957,NaN,TRUE,1/5/1957,,63,NaN,
Mike Melvoin,Piano,5/10/1937,2/22/2012,FALSE,5/10/1937,2/22/2012,74,Cancer,
Sergio Mendes,Piano,2/11/1941,NaN,TRUE,2/11/1941,,79,NaN,
Misha Mengelberg,Piano,6/5/1935,3/3/2017,FALSE,6/5/1935,3/3/2017,81,NaN,
Oreste Migliaccio,Piano,1882,1973,FALSE,1882-01-01,1/1/1973,90,NaN,
Max Miller,Piano,11/17/1911,11/13/1985,FALSE,11/17/1911,11/13/1985,73,Heart Failure,
Mulgrew Miller,Piano,1955,5/29/2013,FALSE,1/1/1955,5/29/2013,58,Stroke,
Andy Milne,Piano,1969,NaN,TRUE,1/1/1969,,51,NaN,
Charles Mingus,Double bass,4/22/1922,1/5/1979,FALSE,4/22/1922,1/5/1979,56,ALS,
Giovanni Mirabassi,Piano,1970,NaN,TRUE,1/1/1970,,50,NaN,
Matt Mitchell,Piano,7/19/1975,NaN,TRUE,7/19/1975,,45,NaN,
Bernt Moen,Piano,2/17/1974,NaN,TRUE,2/17/1974,,46,NaN,
Øystein Moen,Piano,8/16/1980,NaN,TRUE,8/16/1980,,40,NaN,
Paul Moer,Piano,1916,2010,FALSE,1/1/1916,1/1/2010,94,NaN,
Moses Taiwa Molelekwa,Piano,1973,2001,FALSE,1/1/1973,1/1/2001,28,Suicide,
Thelonious Monk,Piano,10/10/1917,2/17/1982,FALSE,10/10/1917,2/17/1982,64,Stroke,
Jeremy Monteiro,Piano,6/20/1960,NaN,TRUE,6/20/1960,,60,NaN,
Buddy Montgomery,Piano,1/30/1930,5/14/2009,FALSE,1/30/1930,5/14/2009,79,Heart Attack,
Tete Montoliu,Piano,3/28/1933,8/24/1997,FALSE,3/28/1933,8/24/1997,64,NaN,
Dudley Moore,Piano,1935,2002,FALSE,1/1/1935,1/1/2002,67,Pneumonia,
Phil Moore,Piano,2/20/1918,5/13/1987,FALSE,2/20/1918,5/13/1987,69,NaN,
Consuela Lee Moorehead,Piano,1927,2010,FALSE,1/1/1927,1/1/2010,83,NaN,
Jason Moran,Piano,1/21/1975,NaN,TRUE,1/21/1975,,45,NaN,
Pat Moran McCoy,Piano,1934,NaN,TRUE,1/1/1934,,86,NaN,
Shōtarō Moriyasu,Piano,1924,1955,FALSE,1/1/1924,1/1/1955,31,Suicide,
Jelly Roll Morton,Piano,1890-10-20,7/10/1941,FALSE,1890-10-20,7/10/1941,50,Respiratory Failure,
Sal Mosca,Piano,1927,2007,FALSE,1/1/1927,1/1/2007,80,NaN,
Bennie Moten,Piano,1894-11-13,4/2/1935,FALSE,1894-11-13,4/2/1935,40,Surgery Complications,
Leszek Możdżer,Piano,3/23/1971,NaN,TRUE,3/23/1971,,49,NaN,
Bheki Mseleku,Piano,1955,9/9/2008,FALSE,1/1/1955,9/9/2008,53,NaN,
Carli Muñoz,Piano,10/16/1948,NaN,TRUE,10/16/1948,,71,NaN,
Bob Murphy,Piano,5/28/1945,10/22/2015,FALSE,5/28/1945,10/22/2015,70,NaN,
Romano Mussolini,Piano,1927,2006,FALSE,1/1/1927,1/1/2006,79,Heart Disease,
Vagif Mustafazadeh,Piano,3/16/1940,12/16/1979,FALSE,3/16/1940,12/16/1979,39,Heart Attack,
Aziza Mustafazadeh,Vocals,12/19/1969,NaN,TRUE,12/19/1969,,50,NaN,
Simon Nabatov,Piano,1/11/1959,NaN,TRUE,1/11/1959,,61,NaN,
Armen Nalbandian,Piano,4/6/1978,NaN,TRUE,4/6/1978,,42,NaN,
Marty Napoleon,Piano,6/2/1921,4/27/2015,FALSE,6/2/1921,4/27/2015,93,NaN,
Josh Nelson,Piano,8/1/1978,NaN,TRUE,8/1/1978,,42,NaN,
Jef Neve,Piano,3/8/1977,NaN,TRUE,3/8/1977,,43,NaN,
"Phineas Newborn, Jr.",Piano,12/14/1931,5/26/1989,FALSE,12/14/1931,5/26/1989,57,Cancer (Lung),
David Newton,Piano,2/2/1958,NaN,TRUE,2/2/1958,,62,NaN,
Herbie Nichols,Piano,1/3/1919,4/12/1963,FALSE,1/3/1919,4/12/1963,44,Leukemia,
Dan Nimmer,Piano,1982,NaN,TRUE,1/1/1982,,38,NaN,
Liam Noble,Piano,11/15/1968,NaN,TRUE,11/15/1968,,51,NaN,
Mike Nock,Piano,9/27/1940,NaN,TRUE,9/27/1940,,79,NaN,
Victor Noriega,Piano,5/5/1978,NaN,TRUE,5/5/1978,,42,NaN,
Walter Norris,Piano,1927,2011,FALSE,1/1/1927,1/1/2011,84,NaN,
Hod O'Brien,Piano,1936,2016,FALSE,1/1/1936,1/1/2016,80,Cancer,
Bill O'Connell,Piano,8/22/1953,NaN,TRUE,8/22/1953,,67,NaN,
Arturo O'Farrill,Piano,6/22/1960,NaN,TRUE,6/22/1960,,60,NaN,
Johnny O'Neal,Piano,10/10/1956,NaN,TRUE,10/10/1956,,63,NaN,
Jørn Øien,Piano,1/19/1968,NaN,TRUE,1/19/1968,,52,NaN,
Junko Onishi,Piano,4/16/1967,NaN,TRUE,4/16/1967,,53,NaN,
Piotr Orzechowski,Piano,12/31/1990,NaN,TRUE,12/31/1990,,29,NaN,
Makoto Ozone,Piano,3/25/1961,NaN,TRUE,3/25/1961,,59,NaN,
Marty Paich,Piano,1/23/1925,8/12/1995,FALSE,1/23/1925,8/12/1995,70,Cancer (Colon),
Eddie Palmieri,Piano,12/15/1936,NaN,TRUE,12/15/1936,,83,NaN,
Tiny Parham,Piano,1900,1943,FALSE,1/1/1900,1/1/1943,42,NaN,
Johnny Parker,Piano,11/6/1929,6/11/2010,FALSE,11/6/1929,6/11/2010,80,NaN,
Aaron Parks,Piano,10/7/1983,NaN,TRUE,10/7/1983,,36,NaN,
Horace Parlan,Piano,1/19/1931,2/23/2017,FALSE,1/19/1931,2/23/2017,86,NaN,
Avery Parrish,Piano,1917,12/10/1959,FALSE,1/1/1917,12/10/1959,42,Fall,
Hermeto Pascoal,Keyboards,6/22/1936,NaN,TRUE,6/22/1936,,84,NaN,
Alan Pasqua,Keyboards,6/28/1952,NaN,TRUE,6/28/1952,,68,NaN,
Ben Paterson,Piano,6/23/1982,NaN,TRUE,6/23/1982,,38,NaN,
Raimonds Pauls,Piano,1936,NaN,TRUE,1/1/1936,,84,NaN,
Charlie Peacock,Keyboards,8/10/1956,NaN,TRUE,8/10/1956,,64,NaN,
Duke Pearson,Piano,8/17/1932,8/4/1980,FALSE,8/17/1932,8/4/1980,47,Multiple Sclerosis,
Eivin One Pedersen,Accordion,9/8/1956,2/22/2012,FALSE,9/8/1956,2/22/2012,55,NaN,
César Pedroso,Piano,1946,NaN,TRUE,1/1/1946,,74,NaN,
Bernard Peiffer,Piano,1922,1976,FALSE,1/1/1922,1/1/1976,53,NaN,
Kim Pensyl,Piano,NaN,NaN,NaN,,,NaN,NaN,
Marc Perrenoud,Piano,1981,NaN,TRUE,1/1/1981,,39,NaN,
Luis Perdomo,Piano,2/19/1971,NaN,TRUE,2/19/1971,,49,NaN,
Danilo Pérez,Piano,12/29/1965,NaN,TRUE,12/29/1965,,54,NaN,
Carl Perkins,Piano,8/16/1928,3/17/1958,FALSE,8/16/1928,3/17/1958,29,Overdose,
Oscar Peterson,Piano,8/15/1925,12/23/2007,FALSE,8/15/1925,12/23/2007,82,Kidney Failure,
Umberto Petrin,Piano,1960,NaN,TRUE,1/1/1960,,60,NaN,
Michel Petrucciani,Piano,12/28/1962,1/6/1999,FALSE,12/28/1962,1/6/1999,36,Lung Disease,
Willie Pickens,Piano,4/18/1931,12/12/2017,FALSE,4/18/1931,12/12/2017,86,Heart Attack,
Enrico Pieranunzi,Piano,12/5/1949,NaN,TRUE,12/5/1949,,70,NaN,
Billie Pierce,Piano,1907,9/29/1974,FALSE,1/1/1907,9/29/1974,67,NaN,
Nat Pierce,Piano,7/16/1925,6/10/1992,FALSE,7/16/1925,6/10/1992,66,Infection,
Roberta Piket,Piano,1966,NaN,TRUE,1/1/1966,,54,NaN,
Jean-Michel Pilc,Piano,10/19/1960,NaN,TRUE,10/19/1960,,59,NaN,
Mika Pohjola,Piano,12/1/1971,NaN,TRUE,12/1/1971,,48,NaN,
Terry Pollard,Piano,1931,2009,FALSE,1/1/1931,1/1/2009,78,NaN,
Paul Posnak,Piano,NaN,NaN,TRUE,,,NaN,NaN,
Bud Powell,Piano,9/27/1924,7/31/1966,FALSE,9/27/1924,7/31/1966,41,Tuberculosis,
Mel Powell,Piano,1923,1998,FALSE,1/1/1923,1/1/1998,75,Cancer (Liver),
Richie Powell,Piano,9/5/1931,6/26/1956,FALSE,9/5/1931,6/26/1956,24,Car Accident,
Roy Powell,Piano,1965,NaN,TRUE,1/1/1965,,55,NaN,
André Previn,Piano,4/6/1929,2/28/2019,FALSE,4/6/1929,2/28/2019,89,NaN,
Sammy Price,Piano,10/6/1908,4/14/1992,FALSE,10/6/1908,4/14/1992,83,Heart Attack,
Clarence Profit,Piano,1912,1944,FALSE,1/1/1912,1/1/1944,32,NaN,
John Proulx,Piano,1977,NaN,TRUE,1/1/1977,,NaN,NaN,
Don Pullen,Piano,12/25/1941,4/22/1995,FALSE,12/25/1941,4/22/1995,53,Lymphoma,
Kym Purling,Piano,11/2/1972,NaN,TRUE,11/2/1972,,47,NaN,
Alton Purnell,Piano,1911,1987,FALSE,1/1/1911,1/1/1987,76,NaN,
Sun Ra,Piano,5/22/1914,5/30/1993,FALSE,5/22/1914,5/30/1993,79,Heart Failure,
Johnny Răducanu,Double bass,12/1/1931,9/19/2011,FALSE,12/1/1931,9/19/2011,79,NaN,
Ziad Rahbani,Piano,1/1/1956,NaN,TRUE,1/1/1956,,64,NaN,
Eldbjørg Raknes,Vocals,2/9/1970,NaN,TRUE,2/9/1970,,50,NaN,
Iiro Rantala,Piano,1/19/1970,NaN,TRUE,1/19/1970,,50,NaN,
